base_url,category,provider,faq,answer
https://www.vitality.co.uk/rewards/partners/,active-rewards,apple-watch,Do I need a Vitality plan to get this offer? ," Yes, before you can buy an Apple Watch through Vitality, you'll need to have an eligible plan: a VitalityHealth Personal Healthcare plan with a minimum monthly premium of £35; a VitalityHealth Business Healthcare plan; a VitalityHealth Corporate Healthcare plan or trust scheme administered by VitalityHealth with the benefit of Vitality Plus; a VitalityLife plan with Vitality Plus or a VitalityInvest Retirement Plan in drawdown with Vitality Plus for an additional fee of £3.80 per month. Vitality Plus is not available on other VitalityInvest plans. The fee is subject to change. To find out about the VitalityLife charges please read our reward terms and conditions."
https://www.vitality.co.uk/rewards/partners/,active-rewards,apple-watch,Which models can I buy through Vitality? ,You can buy selected Apple Watch Series 4 and selected Apple Watch Series 3 models through Vitality.  You can see the full list of models and prices here.
https://www.vitality.co.uk/rewards/partners/,active-rewards,apple-watch,I'm already a Vitality member. Can I get this reward? ," To get an Apple Watch through Vitality, you need to be on one of the following plans; a VitalityHealth Personal Healthcare or Business Healthcare plan, VitalityHealth Corporate Healthcare plan and trust schemes administered by VitalityHealth with Vitality Plus, a VitalityLife plan with Vitality Plus or a VitalityInvestRetirement Plan in drawdown for an additional fee of £3.80 per month. Vitality Plus is not available on other VitalityInvest plans."
https://www.vitality.co.uk/rewards/partners/,active-rewards,apple-watch,How do I earn Vitality points with Apple Watch? ,Download the Vitality Member app to your iPhone. Apple Watch Series 3 requires an iPhone 5s or later with iOS 11 or above. Apple Watch Series 4 requires an iPhone 5s or later with iOS 12 or above. Then track your activity with your new Apple Watch to earn Vitality activity points.
https://www.vitality.co.uk/rewards/partners/,active-rewards,apple-watch,How much will my Direct Debit be each month? ,"For the Apple Watch Series 3 you’ll set up a variable Direct Debit for up to £11.25 each month for 24 months. For the Apple Watch Series 4 you’ll set up a variable Direct Debit for up to £12.50 each month for 24 months. By earning Vitality activity points, you can reduce your monthly payments to as little as £0."
https://www.vitality.co.uk/rewards/partners/,healthy-eating,ocado,How can I see which food is considered healthy food? ,You can view all our eligible healthy food by ticking the ‘Vitality healthy food’ filter on the left hand side of the Ocado page. You can also take a look at our healthy food guide to find out what types of food are included and how we select them.
https://www.vitality.co.uk/rewards/partners/,healthy-eating,ocado,Do I need to have earned Vitality points to qualify for free delivery? ,"No you don't. To qualify for free delivery, you just need to make sure that you’ve connected your Ocado account to Vitality, that the total value of your order is at least £40 before the Vitality discount is applied and at least 30% of your total food and drink spend is on healthy food before the Vitality discount is applied."
https://www.vitality.co.uk/rewards/partners/,healthy-eating,ocado,How do I find out if Ocado deliver to my area? ,Take a look at the Ocado postcode checker.
https://www.vitality.co.uk/rewards/partners/,healthy-eating,ocado,I have a money off voucher for Ocado. Can I use this in conjunction with the Vitality discount? ,Yes you can use money off vouchers for Ocado in conjunction with this benefit.
https://www.vitality.co.uk/rewards/partners/,fitness,virgin-active,How many Vitality points can I earn for working out at Virgin Active? ,Each time you work out and swipe your Virgin Active membership card at the club you’ll earn five Vitality points.
https://www.vitality.co.uk/rewards/partners/,fitness,virgin-active,"You can earn a maximum of 8 Vitality points per day and 40 points per week for getting active. To get the maximum 8 daily activity points, you’ll need to track your exercise for that day using a compatible fitness device or mobile app.",
https://www.vitality.co.uk/rewards/partners/,fitness,virgin-active,Can I work out at other Virgin Active clubs? ,"Yes. With a discounted Vitality membership you can work out at other selected Virgin Active clubs. Virgin Active clubs are organised into groups. The group each club sits in depends on things such as the cost of membership, the facilities at the club and the location. The other clubs you have access to depend on the group your home club is in and your membership package. Have a look at the Virgin Active Club Access Guide for more information."
https://www.vitality.co.uk/rewards/partners/,fitness,virgin-active,How long will my contract be? ,The Vitality discount applies to individual flexible monthly contracts. This means you’ll be on a rolling month-by-month contract.
